day,BN,SubNum,condition,MT,ER
2,14,3,M,1115.0,0.0
2,14,3,M+S,1025.0,0.0
2,14,3,S,1995.0,0.125
2,14,4,M,1180.0,0.5
2,14,4,M+S,1425.0,0.125
2,14,4,S,2057.5,0.0
2,14,5,M,4225.0,0.125
2,14,5,M+S,3322.5,0.0
2,14,5,S,3785.0,0.125
2,14,6,M,1337.5,0.0
2,14,6,M+S,1400.0,0.125
2,14,6,S,3112.5,0.0
2,14,7,M,2220.0,0.0
2,14,7,M+S,2225.0,0.0
2,14,7,S,2825.0,0.125
2,14,8,M,902.5,0.0
2,14,8,M+S,905.0,0.125
2,14,8,S,1855.0,0.0
2,14,9,M,1710.0,0.375
2,14,9,M+S,1465.0,0.375
2,14,9,S,2265.0,0.125
2,14,10,M,2970.0,0.375
2,14,10,M+S,3075.0,0.125
2,14,10,S,3910.0,0.25
2,14,11,M,1845.0,0.125
2,14,11,M+S,1772.5,0.0
2,14,11,S,3147.5,0.25
2,14,12,M,1032.5,0.25
2,14,12,M+S,1210.0,0.125
2,14,12,S,2200.0,0.125
2,14,13,M,790.0,0.125
2,14,13,M+S,802.5,0.0
2,14,13,S,1592.5,0.0
2,14,14,M,1860.0,0.125
2,14,14,M+S,1715.0,0.0
2,14,14,S,2222.5,0.0
2,15,1,M,1072.5,0.25
2,15,1,M+S,975.0,0.25
2,15,1,S,1840.0,0.125
2,15,2,M,4365.0,0.625
2,15,2,M+S,2430.0,0.0
2,15,2,S,2795.0,0.0
2,15,3,M,1200.0,0.125
2,15,3,M+S,970.0,0.125
2,15,3,S,1827.5,0.0
2,15,4,M,1265.0,0.125
2,15,4,M+S,1207.5,0.0
2,15,4,S,1970.0,0.0
2,15,5,M,3590.0,0.0
2,15,5,M+S,3217.5,0.0
2,15,5,S,3715.0,0.125
2,15,6,M,1350.0,0.25
2,15,6,M+S,1320.0,0.25
2,15,6,S,2940.0,0.125
2,15,7,M,1875.0,0.125
2,15,7,M+S,1935.0,0.0
2,15,7,S,3190.0,0.125
2,15,8,M,890.0,0.0
2,15,8,M+S,870.0,0.125
2,15,8,S,1782.5,0.0
2,15,9,M,1872.5,0.25
2,15,9,M+S,1587.5,0.0
2,15,9,S,2095.0,0.125
2,15,10,M,2222.5,0.25
2,15,10,M+S,2120.0,0.125
2,15,10,S,2810.0,0.375
2,15,11,M,1662.5,0.5
2,15,11,M+S,1727.5,0.25
2,15,11,S,2765.0,0.25
2,15,12,M,820.0,0.125
2,15,12,M+S,897.5,0.0
2,15,12,S,1665.0,0.125
2,15,13,M,910.0,0.125
2,15,13,M+S,795.0,0.125
2,15,13,S,1690.0,0.125
2,15,14,M,1670.0,0.0
2,15,14,M+S,1695.0,0.125
2,15,14,S,2175.0,0.125
2,16,1,M,1027.5,0.25
2,16,1,M+S,922.5,0.25
2,16,1,S,1930.0,0.375
2,16,2,M,3235.0,0.25
2,16,2,M+S,2582.5,0.0
2,16,2,S,3170.0,0.125
2,16,3,M,1250.0,0.375
2,16,3,M+S,1040.0,0.125
2,16,3,S,2442.5,0.25
2,16,4,M,1112.5,0.25
2,16,4,M+S,1402.5,0.0
2,16,4,S,2110.0,0.125
2,16,5,M,3310.0,0.125
2,16,5,M+S,3090.0,0.125
